Sizes;"ID
(code of your product in your own referencing)";Colour;Price;Image;Title;"EAN
Product 
Code ";Country supplier;BRAND;Weight;Material;Shipping price;Stock;Description;Gender;SKU;;;;
M;breezy-orange-medium;Orange;19,99 €;3.jpg;BREEZY sportmasker - Oranje mondmasker / wasbaar mondkapje - maat Medium - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980076915;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-orange-medium;;;;
L;breezy-orange-large;Orange;19,99 €;3.jpg;BREEZY sportmasker - Oranje mondmasker / wasbaar mondkapje - maat Large - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980076922;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-orange-large;;;;
S;breezy-blue-small;Dark Blue;19,99 €;4.jpg;BREEZY sportmasker - Blauw mondmasker / wasbaar mondkapje - maat Small - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980076960;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-blue-small;;;;
M;breezy-blue-medium;Dark Blue;19,99 €;4.jpg;BREEZY sportmasker - Blauw mondmasker / wasbaar mondkapje - maat Medium - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980076977;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-blue-medium;;;;
L;breezy-blue-large;Dark Blue;19,99 €;4.jpg;BREEZY sportmasker - Blauw mondmasker / wasbaar mondkapje - maat Large - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980076984;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-blue-large;;;;
S;breezy-red-small;Red;19,99 €;2.jpg;BREEZY sportmasker - Rood mondmasker / wasbaar mondkapje - maat Small - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980076939;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-red-small;;;;
M;breezy-red-medium;Red;19,99 €;2.jpg;BREEZY sportmasker - Rood mondmasker / wasbaar mondkapje - maat Medium - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980076946;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-red-medium;;;;
L;breezy-red-large;Red;19,99 €;2.jpg;BREEZY sportmasker - Rood mondmasker / wasbaar mondkapje - maat Large - incl. 4 vervangbare filters & 4 ventielen - herbruikbaar comfortmasker in opbergtasje;05419980076953;Belgium;Breezy Sport Mask;0,100;80% Polyester, 20% Polypropylene;5,99 €;999;Notre masque buccal Breezy est fait d'un tissu de sport respirant. Grâce au bandeau supplémentaire, le masque est exceptionnellement confortable à porter, idéal pour le sport ou les longues journées de travail. Sans son filtre et ses valves, il peut facilement être lavé à 60°. Le masque est disponible en six couleurs et trois tailles, afin que chacun ait un masque à sa taille.;Unisex;breezy-red-large;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
